Scenario Name,Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level)
Actual,2012 Q4,0.5,2.5,11.6,14.1,7.8,2.7,0.1,0.7,1.7,3.6,3.4,3.3,14834.9,144.8,187.8,22.7
Actual,2013 Q1,4.0,5.7,-14.9,-13.7,7.7,1.6,0.1,0.8,1.9,3.7,3.5,3.3,16396.2,148.5,189.8,19.0
Actual,2013 Q2,1.1,1.9,3.1,3.3,7.5,-0.4,0.1,0.9,2.0,3.8,3.7,3.3,16771.3,152.3,201.3,20.5
Actual,2013 Q3,3.4,5.5,1.4,3.1,7.2,2.2,0.0,1.5,2.7,4.7,4.4,3.3,17718.3,156.2,213.1,17.0
Actual,2013 Q4,3.5,5.7,0.6,2.0,6.9,1.5,0.1,1.4,2.8,4.5,4.3,3.3,19413.2,159.2,212.1,20.3
Actual,2014 Q1,-1.4,0.1,4.7,6.7,6.7,2.5,0.0,1.6,2.8,4.4,4.4,3.3,19711.2,161.2,208.7,21.4
Actual,2014 Q2,5.3,7.7,5.1,7.0,6.2,2.1,0.0,1.7,2.7,4.0,4.2,3.3,20568.7,162.3,218.8,17.0
Actual,2014 Q3,5.0,6.7,3.8,5.0,6.1,1.0,0.0,1.7,2.5,3.9,4.1,3.3,20458.8,164.5,223.3,17.0
Actual,2014 Q4,2.0,2.4,5.8,5.3,5.7,-1.0,0.0,1.6,2.3,4.0,4.0,3.3,21424.6,167.0,230.4,26.3
Actual,2015 Q1,3.7,3.4,5.6,3.7,5.5,-2.6,0.0,1.5,2.0,3.9,3.7,3.3,21707.6,169.1,240.6,22.4
Actual,2015 Q2,2.5,4.9,1.2,3.2,5.4,2.8,0.0,1.5,2.2,3.9,3.8,3.3,21630.9,171.1,245.9,18.9
Actual,2015 Q3,1.6,2.7,2.2,3.3,5.1,1.5,0.0,1.6,2.3,4.3,4.0,3.3,19959.3,173.5,245.6,40.7
Actual,2015 Q4,0.7,0.7,2.3,2.0,5.0,0.0,0.1,1.6,2.2,4.4,3.9,3.3,21100.9,176.0,243.6,24.4
Actual,2016 Q1,2.3,2.0,3.3,3.5,4.9,-0.2,0.3,1.4,2.0,4.5,3.7,3.5,21179.4,178.2,238.5,28.1
Actual,2016 Q2,1.3,4.1,-0.8,1.7,4.9,3.2,0.3,1.3,1.8,3.9,3.6,3.5,21621.5,180.2,247.7,25.8
Actual,2016 Q3,2.9,3.9,2.3,3.7,4.9,1.7,0.3,1.2,1.6,3.5,3.4,3.5,22468.6,182.7,256.3,18.1
Actual,2016 Q4,2.2,4.2,2.6,4.5,4.8,2.6,0.4,1.7,2.2,3.9,3.8,3.5,23276.7,185.5,257.2,22.5
Actual,2017 Q1,2.0,4.1,4.2,6.7,4.6,2.8,0.6,2.0,2.5,4.0,4.2,3.8,24508.3,188.0,252.2,13.1
Actual,2017 Q2,2.3,3.3,4.4,5.3,4.4,0.5,0.9,1.8,2.3,3.8,4.0,4.0,25125.0,190.7,271.9,16.0
Actual,2017 Q3,3.2,5.3,2.8,4.3,4.3,1.9,1.0,1.8,2.3,3.7,3.9,4.3,26148.5,193.6,266.7,16.0
Actual,2017 Q4,4.6,7.2,2.5,5.0,4.2,3.2,1.2,2.1,2.4,3.7,3.9,4.3,27673.2,196.7,271.0,13.1
Actual,2018 Q1,3.3,5.9,4.3,7.2,4.0,3.4,1.6,2.5,2.8,4.1,4.3,4.5,27383.0,199.8,273.5,37.3
Actual,2018 Q2,2.1,5.1,3.6,5.8,3.9,2.2,1.8,2.8,2.9,4.5,4.5,4.8,28313.8,202.0,274.6,23.6
Actual,2018 Q3,2.5,4.3,4.3,5.7,3.8,1.6,2.0,2.8,2.9,4.5,4.6,5.0,30189.6,204.0,275.1,16.1
Actual,2018 Q4,0.6,2.3,3.9,5.5,3.8,1.6,2.3,2.9,3.0,4.8,4.8,5.3,25724.5,205.8,272.0,36.1
Actual,2019 Q1,2.2,3.6,4.7,5.6,3.9,1.1,2.4,2.5,2.7,4.5,4.4,5.5,29193.9,207.4,284.1,25.5
Actual,2019 Q2,3.4,5.4,-0.3,1.8,3.6,2.9,2.3,2.1,2.4,4.0,4.0,5.5,30243.8,209.4,296.6,20.6
Actual,2019 Q3,4.6,5.9,2.8,3.8,3.6,1.4,2.0,1.7,1.8,3.4,3.7,5.3,30441.8,211.9,294.3,24.6
Actual,2019 Q4,2.6,3.9,2.3,3.9,3.6,2.8,1.6,1.6,1.8,3.3,3.7,4.8,33035.4,215.0,291.3,20.6
Actual,2020 Q1,-5.3,-3.5,2.4,3.7,3.8,1.4,1.1,1.2,1.4,3.4,3.5,4.4,25984.8,218.1,295.7,82.7
Actual,2020 Q2,-28.0,-29.2,45.7,43.2,13.0,-3.8,0.1,0.4,0.7,3.4,3.2,3.3,31576.8,219.7,288.9,57.1
Actual,2020 Q3,34.8,39.7,-13.3,-10.4,8.8,4.6,0.1,0.3,0.6,2.4,3.0,3.3,34305.8,227.0,295.2,33.6
Actual,2020 Q4,4.2,7.1,-7.7,-5.8,6.7,2.8,0.1,0.4,0.9,2.3,2.8,3.3,39219.6,235.5,304.6,40.3
Actual,2021 Q1,5.2,10.9,56.0,63.5,6.2,4.2,0.1,0.6,1.4,2.4,2.9,3.3,41602.7,243.0,308.9,37.2
Actual,2021 Q2,6.2,12.8,-27.6,-23.1,5.9,7.5,0.0,0.8,1.6,2.6,3.0,3.3,44904.3,254.7,317.1,27.6
Actual,2021 Q3,3.3,9.5,-5.2,0.1,5.1,6.6,0.0,0.8,1.4,2.4,2.9,3.3,44705.8,265.8,340.8,25.7
Actual,2021 Q4,7.0,14.6,-5.6,0.7,4.2,8.8,0.1,1.2,1.6,2.7,3.1,3.3,48634.3,276.4,354.2,31.1
Actual,2022 Q1,-2.0,6.2,-9.8,-2.9,3.8,9.2,0.3,1.9,2.0,3.5,3.8,3.3,45847.3,289.5,346.3,36.5
